"reference_cell_types","query_clusters","number_OMGs","p_value","negative_log10_p_value","significant"
"catharanthus_roseus Leaf Phloem parenchyma",0,19,0.0455188015897059,1.34180918048445,"Yes"
"catharanthus_roseus Leaf Phloem parenchyma cell",0,4,0.905399439151834,0.0431597788636725,"No"
"catharanthus_roseus Leaf Proliferating cell",0,1,1,0,"No"
"catharanthus_roseus Leaf Vascular tissue",0,16,0.556997472882083,0.254146775231758,"No"
"fragaria_vesca Leaf Abaxial epidermis",0,11,0.472057476963778,0.326005119144553,"No"
"fragaria_vesca Leaf Adaxial epidermis",0,8,1,0,"No"
"fragaria_vesca Leaf Hydathode",0,7,0.523052391934649,0.2814548075218,"No"
"fragaria_vesca Leaf Hydathodes",0,13,0.339570844555773,0.469069605212859,"No"
"fragaria_vesca Leaf Leaf lamina abaxial epidermis",0,7,0.694868545832744,0.158097346804425,"No"
"fragaria_vesca Leaf Leaf lamina adaxial epidermis",0,5,1,0,"No"
"fragaria_vesca Leaf Meristematic cell",0,1,1,0,"No"
"fragaria_vesca Leaf Mesophyll",0,1,1,0,"No"
"fragaria_vesca Leaf Mesophyll cell",0,3,1,0,"No"
"fragaria_vesca Leaf Phloem",0,15,0.0868434324890907,1.06126301937687,"No"
"fragaria_vesca Leaf Xylem",0,9,1,0,"No"
"fragaria_vesca Leaf Xylem parenchyma",0,15,0.648288609188339,0.188231609139205,"No"
"fragaria_vesca Leaf Xylem parenchyma cell",0,15,0.0318634651401865,1.49670699660046,"Yes"
"glycine_max Flower Cortex",0,3,0.602111595217932,0.220323009247468,"No"
"glycine_max Flower Epidermis",0,2,1,0,"No"
"glycine_max Flower Flower meristem",0,3,1,0,"No"
"glycine_max Flower Mesophyll cell",0,3,1,0,"No"
"glycine_max Flower Procambium",0,7,0.0847036553304034,1.07209784757284,"No"
"glycine_max Flower Proliferating cell",0,0,1,0,"No"
"glycine_max Leaf Bundle sheath cell",0,10,0.234762285320398,0.62937167144843,"No"
"glycine_max Leaf Companion cell",0,5,0.48944496107781,0.310296138271709,"No"
"glycine_max Leaf Hydathode",0,9,0.750842443956925,0.124451185364392,"No"
"glycine_max Leaf Leaf guard cell",0,1,1,0,"No"
"glycine_max Leaf Leaf lamina epidermis",0,2,1,0,"No"
"glycine_max Leaf Leaf senescing cell",0,9,0.119764972906578,0.921670179423127,"No"
"glycine_max Leaf Leaf vascular system",0,11,0.0190841849504807,1.71932638321645,"Yes"
"glycine_max Leaf Mesophyll cell",0,2,1,0,"No"
"glycine_max Leaf Proliferating cell",0,0,1,0,"No"
"glycine_max Root Pericycle cell",0,19,3.58704660232397e-06,5.44526298100436,"Yes"
"glycine_max Root Phloem",0,16,0.0235373164091805,1.62824305445444,"Yes"
"glycine_max Root Phloem fiber cell",0,3,1,0,"No"
"glycine_max Root Proliferating cell",0,0,1,0,"No"
"glycine_max Root Root cap",0,8,0.349768462297184,0.45621935228382,"No"
"glycine_max Root Root cortex",0,7,0.774825086047623,0.110796326833041,"No"
"glycine_max Root Root endodermis",0,7,0.809606532785168,0.0917259961303838,"No"
"glycine_max Root Root epidermis",0,8,0.458271970940826,0.338876704478945,"No"
"glycine_max Root Root hair cell",0,5,1,0,"No"
"glycine_max Root Root nodule",0,2,1,0,"No"
"glycine_max Root Root procambium",0,16,0.00013639177557385,3.8652118168539,"Yes"
"glycine_max Root Root vascular system",0,23,2.93414496026388e-08,7.53251843381669,"Yes"
"glycine_max Root Xylem",0,2,1,0,"No"
"glycine_max Seed Embryo epidermal cell",0,5,0.441477437841645,0.355091486585288,"No"
"glycine_max Seed Endosperm",0,4,0.635676539532438,0.196763816475186,"No"
"glycine_max Seed Inner integument",0,7,0.483163347282656,0.315906018668062,"No"
"glycine_max Seed Outer integument",0,5,0.541222810848346,0.266623907534883,"No"
"glycine_max Seed Plant embryo",0,3,0.928468967261055,0.0322326073496291,"No"
"glycine_max Seed Proliferating cell",0,0,1,0,"No"
"glycine_max Seed Seed coat",0,10,0.499324073161893,0.301617495452309,"No"
"glycine_max Seed Seed coat endothelium",0,3,1,0,"No"
"glycine_max Seed Seed coat epidermis",0,3,1,0,"No"
"glycine_max Seed Suspensor",0,6,0.292101796541417,0.534465771935644,"No"
"glycine_max Stem Companion cell",0,4,1,0,"No"
"glycine_max Stem Guard cell",0,2,1,0,"No"
"glycine_max Stem Mesophyll cell",0,2,1,0,"No"
"glycine_max Stem Phloem",0,6,0.786794027246406,0.104138945580069,"No"
"glycine_max Stem Proliferating cell",0,1,1,0,"No"
"glycine_max Stem Shoot apical meristem",0,7,0.327009735357192,0.485439317832156,"No"
"glycine_max Stem Shoot apical meristem epidermis layer",0,4,0.807225996645901,0.0930048601283549,"No"
