"reference_cluster","species","tissue","ref_numOMG","query_cluster","query_numOMG","num_common_OMG","FDR","test"
"S phase","arabidopsis_thaliana","Inflorescence",64,1,108,8,4.40679232402274e-09,"Reject"
"Xylem pole pericycle cell","arabidopsis_thaliana","Root",150,1,108,51,5.09305746622763e-09,"Reject"
"Xylem","fragaria_vesca","Leaf",180,10,140,43,5.87485437102801e-09,"Reject"
"Cortex","medicago_truncatula","Root",108,3,165,30,7.21720298430934e-09,"Reject"
"Shoot system endodermis","arabidopsis_thaliana","Stem",161,13,156,33,7.77364368991791e-09,"Reject"
"Sieve element","arabidopsis_thaliana","Stem",137,14,85,21,7.93736005167426e-09,"Reject"
"Xylem","arabidopsis_thaliana","Stem",148,10,140,37,1.20526445775167e-08,"Reject"
"Stem cell niche","zea_mays","Root",138,8,149,41,1.50687107712864e-08,"Reject"
"Epidermis","populus_alba_var_pyramidalis","Stem",177,5,149,30,1.74155682373542e-08,"Reject"
"Companion cell","arabidopsis_thaliana","Leaf",58,4,118,26,2.0088129494639e-08,"Reject"
"Phloem","glycine_max","Stem",127,4,118,21,2.26294707786952e-08,"Reject"
"Microspore nuclei","arabidopsis_thaliana","Flower",154,1,108,12,2.78752075083298e-08,"Reject"
"Determinate lateral organ","zea_mays","Ear inflorescence",182,1,108,15,3.55364620742193e-08,"Reject"
"Phloem","medicago_truncatula","Root",136,4,118,27,3.8276427976615e-08,"Reject"
"Xylem","glycine_max","Stem",121,10,140,34,4.94662289267923e-08,"Reject"
"Companion cell","arabidopsis_thaliana","Stem",130,4,118,22,7.33998686244908e-08,"Reject"
"Pericycle","medicago_truncatula","Root",179,0,164,32,7.71006583397242e-08,"Reject"
"Developing male gametophytes","gossypium_hirsutum","Flower",104,1,108,8,1.58885078397095e-07,"Reject"
"Protophloem","arabidopsis_thaliana","Root",118,14,85,19,1.7633187628582e-07,"Reject"
"S phase","zea_mays","Ear inflorescence",43,1,108,8,2.07875934406766e-07,"Reject"
"Xylem","populus_alba_var_pyramidalis","Stem",177,10,140,51,2.44474410294013e-07,"Reject"
"Pericycle cell","manihot_esculenta","Root",125,1,108,27,2.64734491845346e-07,"Reject"
"Rib Zone","solanum_lycopersicum","Shoot axis apex",194,8,149,39,2.86582061476422e-07,"Reject"
"S phase","zea_mays","Leaf",34,1,108,8,5.50419681384342e-07,"Reject"
"Phloem","oryza_sativa","Root",87,14,85,15,5.75968065602713e-07,"Reject"
"Shoot system epidermis","solanum_lycopersicum","Shoot axis apex",181,8,149,53,6.21095420486406e-07,"Reject"
"Xylem","sorghum_bicolor","Root",162,10,140,29,7.84205805435267e-07,"Reject"
"Pericycle","oryza_sativa","Root;Leaf",186,1,108,48,8.11236293791902e-07,"Reject"
"Metaxylem","manihot_esculenta","Tuberous root",178,8,149,45,1.08553177165627e-06,"Reject"
"Pericycle","oryza_sativa","Root",198,0,164,25,1.09043290168365e-06,"Reject"
"Lateral root cap like cell","arabidopsis_thaliana","Root",189,3,165,23,1.17762673239444e-06,"Reject"
"Proliferating cell","glycine_max","Seed",74,1,108,8,1.28258240048627e-06,"Reject"
"Pholem","arabidopsis_thaliana","Root",168,4,118,26,1.30972328054535e-06,"Reject"
"Root endodermis","zea_mays","Root",120,1,108,31,1.44476004218169e-06,"Reject"
"Root stele","zea_mays","Root",140,8,149,39,1.44476004218169e-06,"Reject"
"Xylem","glycine_max","Root",113,10,140,26,1.61984410021938e-06,"Reject"
"Metaxylem","manihot_esculenta","Root",172,10,140,35,3.85594185437117e-06,"Reject"
"Root hair","arabidopsis_thaliana","Root",65,6,162,28,3.91311448040015e-06,"Reject"
"Root endodermis","arabidopsis_thaliana","Root",42,13,156,30,5.10513157906003e-06,"Reject"
"Non-hair","arabidopsis_thaliana","Root",82,3,165,25,5.35031918667816e-06,"Reject"
"Xylem","arabidopsis_thaliana","Root",97,10,140,22,5.35031918667816e-06,"Reject"
"Atrichoblast","solanum_lycopersicum","Root",194,11,171,30,5.97691093381196e-06,"Reject"
"Pericycle","arabidopsis_thaliana","Root",167,0,164,25,6.07070417472856e-06,"Reject"
"Protoxylem","oryza_sativa","Root",129,10,140,31,6.57752799878755e-06,"Reject"
"Stem cell niche","arabidopsis_thaliana","Root",130,7,146,26,6.58719313861418e-06,"Reject"
"Sieve element","populus_alba_var_pyramidalis","Stem",179,14,85,28,6.83978333960174e-06,"Reject"
"Companion cell","arabidopsis_thaliana","Flower",162,4,118,30,7.5453678215695e-06,"Reject"
"Pericycle cell","sorghum_bicolor","Root",120,0,164,19,7.8539520827937e-06,"Reject"
"Mesophyll precursor","oryza_sativa","Leaf",115,1,108,10,8.08924117313613e-06,"Reject"
"Phloem parenchyma","gossypium_bickii","Seed",173,8,149,24,8.38887619573699e-06,"Reject"
"Guard mother cell","arabidopsis_thaliana","Leaf",154,1,108,26,9.10677136543778e-06,"Reject"
"Root endodermis","zea_mays","Root",120,8,149,25,1.03713817202287e-05,"Reject"
"Phloem","arabidopsis_thaliana","Inflorescence",191,4,118,28,1.2007205658799e-05,"Reject"
"RC_Col_QC","solanum_lycopersicum","Root",183,8,149,33,1.98688241636503e-05,"Reject"
"Vascular tissue","catharanthus_roseus","Leaf",193,4,118,31,2.29533602103777e-05,"Reject"
"Xylem","zea_mays","Root",123,10,140,16,2.53065170131686e-05,"Reject"
"Xylem","oryza_sativa","Root;Leaf",184,10,140,38,2.5483339072139e-05,"Reject"
"Proliferating cell","gossypium_hirsutum","Leaf",111,8,149,9,2.72168630165202e-05,"Reject"
"Phloem parenchyma","manihot_esculenta","Tuberous root",166,8,149,34,3.44791484456162e-05,"Reject"
"Guard cell","gossypium_hirsutum","Leaf",147,10,140,35,4.27223460395595e-05,"Reject"
"Pericycle cell","oryza_sativa","Root",183,0,164,21,4.32355192329246e-05,"Reject"
"Xylem","oryza_sativa","Root",104,10,140,28,5.42796058083008e-05,"Reject"
"Inner integument","glycine_max","Seed",104,3,165,21,5.60877496505494e-05,"Reject"
"Phloem","arabidopsis_thaliana","Flower",134,4,118,23,5.61087508837584e-05,"Reject"
"Root initial cell","arabidopsis_thaliana","Root",156,1,108,28,5.82185856404036e-05,"Reject"
