"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.01476334293161,0.424,0.129,0,"1","Potri.007G071100"
0,1.26629834185033,0.601,0.306,0,"1","Potri.008G017300"
0,1.17419028315194,0.687,0.393,0,"1","Potri.010G241200"
0,1.34678972307624,0.54,0.247,0,"1","Potri.012G108400"
0,1.24967431763753,0.602,0.309,0,"1","Potri.005G211200"
0,1.16758903475984,0.753,0.46,0,"1","Potri.015G106500"
0,1.17525263585093,0.77,0.478,0,"1","Potri.010G066400"
0,1.21327811130042,0.592,0.3,0,"1","Potri.005G082600"
0,1.17576810945415,0.63,0.34,0,"1","Potri.005G162600"
0,1.92080322804316,0.419,0.129,0,"1","Potri.015G147500"
0,1.13903447002514,0.658,0.369,0,"1","Potri.005G115700"
0,1.17258259088258,0.642,0.353,0,"1","Potri.014G053300"
0,1.28278822119033,0.58,0.291,0,"1","Potri.001G194000"
0,1.32978559871015,0.564,0.275,0,"1","Potri.008G013200"
0,1.39414234912992,0.522,0.234,0,"1","Potri.003G123101"
0,1.26638621313366,0.579,0.291,0,"1","Potri.016G069000"
0,1.63307146382372,0.465,0.178,0,"1","Potri.001G156100"
0,1.18042400160844,0.631,0.344,0,"1","Potri.007G013100"
0,1.18857587574883,0.639,0.352,0,"1","Potri.007G034800"
0,1.26732777143539,0.558,0.271,0,"1","Potri.007G085200"
0,1.09178645517454,0.663,0.377,0,"1","Potri.010G250900"
0,1.20873292900909,0.596,0.31,0,"1","Potri.005G219700"
0,1.24113570220754,0.602,0.316,0,"1","Potri.009G032600"
0,1.22039775026317,0.584,0.298,0,"1","Potri.018G070100"
0,1.14600955480567,0.631,0.346,0,"1","Potri.009G056900"
0,1.14963218916903,0.695,0.41,0,"1","Potri.009G146200"
0,1.24699933024314,0.598,0.313,0,"1","Potri.016G085800"
0,1.09105516552899,0.682,0.398,0,"1","Potri.010G091000"
0,1.29726241363475,0.571,0.287,0,"1","Potri.012G024300"
0,1.13448372972972,0.807,0.524,0,"1","Potri.010G060400"
0,1.85949820203644,0.413,0.13,0,"1","Potri.005G194500"
0,1.11706670326431,0.698,0.415,0,"1","Potri.014G115100"
0,1.40695032703943,0.49,0.208,0,"1","Potri.006G195400"
0,1.15931981113384,0.642,0.36,0,"1","Potri.006G222100"
0,1.13588819413513,0.637,0.355,0,"1","Potri.010G208700"
0,1.14766844896147,0.677,0.395,0,"1","Potri.016G055000"
0,1.30532740576772,0.529,0.248,0,"1","Potri.008G156300"
0,1.22350392243021,0.57,0.289,0,"1","Potri.004G057000"
0,1.26897416405146,0.541,0.263,0,"1","Potri.002G146800"
0,1.31837109085177,0.51,0.232,0,"1","Potri.007G055900"
0,1.1296792303107,0.664,0.387,0,"1","Potri.009G158700"
0,1.12375632332161,0.621,0.344,0,"1","Potri.016G019000"
0,1.06121218344414,0.748,0.472,0,"1","Potri.001G466000"
0,1.34909663023701,0.498,0.222,0,"1","Potri.004G099200"
0,1.28400364576106,0.511,0.235,0,"1","Potri.006G202300"
0,1.23096248410215,0.54,0.264,0,"1","Potri.008G050200"
0,1.10779960043436,0.599,0.323,0,"1","Potri.005G049400"
0,1.21165449915008,0.557,0.282,0,"1","Potri.015G041600"
0,1.14271321688763,0.791,0.516,0,"1","Potri.002G179400"
0,1.46798649761538,0.46,0.186,0,"1","Potri.001G118100"
0,1.16490452491581,0.645,0.371,0,"1","Potri.007G131800"
0,1.16774963906612,0.576,0.302,0,"1","Potri.013G036100"
0,1.0545919830919,0.685,0.412,0,"1","Potri.016G063200"
0,1.15924767331294,0.555,0.283,0,"1","Potri.001G262100"
0,1.21110629623788,0.534,0.262,0,"1","Potri.005G026000"
0,2.39615237402957,0.378,0.106,0,"1","Potri.010G231300"
0,1.12729346389638,0.602,0.33,0,"1","Potri.010G218700"
0,1.11195974538427,0.585,0.313,0,"1","Potri.014G057300"
0,1.55666847963138,0.436,0.165,0,"1","Potri.006G077200"
0,1.25770676155044,0.519,0.248,0,"1","Potri.009G099300"
0,1.31164829700599,0.495,0.224,0,"1","Potri.012G037500"
0,1.10291932855186,0.583,0.312,0,"1","Potri.002G190000"
0,1.66633072211417,0.414,0.144,0,"1","Potri.002G057600"
0,1.07295187491127,0.785,0.515,0,"1","Potri.002G066200"
0,1.10413701615877,0.642,0.372,0,"1","Potri.015G129800"
0,1.34275226868963,0.486,0.217,0,"1","Potri.002G035700"
0,2.12318487645413,0.41,0.141,0,"1","Potri.008G029900"
0,1.01543462966827,0.658,0.389,0,"1","Potri.016G124100"
0,1.15415203220034,0.532,0.264,0,"1","Potri.004G113800"
0,1.23732348629008,0.501,0.233,0,"1","Potri.013G027600"
0,1.10686391970028,0.589,0.321,0,"1","Potri.003G161200"
0,1.16027889110888,0.535,0.268,0,"1","Potri.001G314500"
0,1.35324427755476,0.484,0.217,0,"1","Potri.005G092500"
0,1.0589558909802,0.789,0.522,0,"1","Potri.010G186500"
0,1.36510369951785,0.472,0.205,0,"1","Potri.011G147700"
0,1.33144780888932,0.481,0.214,0,"1","Potri.012G096600"
0,1.37213019228707,0.471,0.204,0,"1","Potri.017G115400"
0,1.01449010990274,0.716,0.449,0,"1","Potri.001G069100"
0,1.44739112341715,0.446,0.18,0,"1","Potri.001G046600"
0,1.33650969556143,0.479,0.213,0,"1","Potri.008G048800"
0,1.25326950305677,0.507,0.241,0,"1","Potri.012G114000"
0,1.13878098130726,0.552,0.287,0,"1","Potri.010G199400"
0,1.65530046456258,0.407,0.142,0,"1","Potri.015G092900"
0,1.22261281548933,0.51,0.246,0,"1","Potri.001G342500"
0,1.07796000182844,0.611,0.347,0,"1","Potri.002G140100"
0,1.01073806324895,0.677,0.414,0,"1","Potri.001G218700"
0,1.27785206738106,0.493,0.23,0,"1","Potri.008G150000"
